"civ_name","geo_id","modified","per_cap_income","pop_asian","pop_black","pop_hisp","pop_in_poverty","pop_native","pop_nonwhite","pop_not_hisp","pop_other","pop_pac_isl","pop_two_plus","pop_white","tot_pop_hisp","tot_pop_income","tot_pop_race","pct_white","pct_nonwhite","pct_black","pct_asian","pct_pac_isl","pct_native","pct_other","pct_two_plus","pct_hisp","pct_not_hisp","pct_in_poverty"
"Alcova Heights",11,"FALSE",156551.095835369,224.078598207834,169.806371429722,321.916428107019,49.6288865039214,0.00621242046477834,584.916136045452,1673.70869168736,125.765408211984,0,65.2595457754469,1410.70898374893,1995.62511979438,1995.62504987478,1995.62511979438,70.6900795022204,29.3099204977796,8.5089313491513,11.228491563131,0,0.000311301977668954,6.30205578014284,3.27013050337685,16.1311072362222,83.8688927637778,2.48688432263543
"Arlington - East Falls Church",25,"FALSE",345656.572839116,302.533261133375,121.553315810235,492.421487738739,146.56590854703,0,798.952565198857,5144.92884863777,143.996659584079,0,230.869328671167,4838.39777117765,5637.3503363765,5637.3503363765,5637.3503363765,85.8275161640496,14.1724838359504,2.15621362088994,5.36658612790477,0,0,2.55433228364224,4.09535180351346,8.7349811233348,91.2650188766652,2.59990775455757
"Arlington Forest",58,"FALSE",174734.156717432,175.345915469805,96.9127189623909,278.918183939546,74.0166824457501,20.918749695793,630.59593743213,2662.34041025232,226.399870172483,0,111.018683131658,2310.66265675974,2941.25859419187,2938.65041548988,2941.25859419187,78.5603367661254,21.4396632338746,3.29494044331109,5.96159466617668,0,0.711217631020322,7.6973806594074,3.7745298339591,9.48295347067847,90.5170465293215,2.51873043678832
"Arlington Heights",20,"FALSE",218414.415833312,150.414141194593,190.135923298058,377.110357649689,27.3007635312529,0.0155234671475603,479.721595170126,2492.12557363134,92.9930138087385,0,46.1629934015896,2389.5143361109,2869.23593128103,2869.23593128103,2869.23593128103,83.2805106774212,16.7194893225788,6.62670926517946,5.2423064814833,0,0.000541031393700327,3.24103754574201,1.60889499878036,13.1432327867621,86.8567672132378,0.951499429991589
"Arlington Mill",46,"FALSE",117846.780168782,642.030758632438,2509.44267952186,3239.82394179613,1349.70490054536,115.963588837478,4109.42239722294,4347.06576864259,544.410325497501,0,297.575044733663,3477.46731321579,7586.88971043873,7556.90490316255,7586.88971043873,45.8352163526402,54.1647836473598,33.0760400545845,8.46237105238361,0,1.52847337002836,7.17567206425121,3.92222710611218,42.7029265673718,57.2970734326282,17.8605516126121
"Arlington Ridge",51,"FALSE",466394.616436127,533.958770747557,388.197310154116,914.658181466536,298.296702493432,33.2138803669018,1189.34618322621,5411.12505024577,50.555343337518,0,183.420878620118,5136.43704848609,6325.78323171231,6314.5203022563,6325.78323171231,81.1984359934466,18.8015640065534,6.13674695977586,8.4409906439842,0,0.525055619996502,0.799195000613914,2.89957578218292,14.4592084167726,85.5407915832274,4.72398041679975
"Arlington View",43,"FALSE",42143.2658433418,0.617437255193931,648.615353454863,121.502856181196,225.366408221971,0,743.595174068753,1047.26499044454,0.0015984362608711,0,94.3607849224355,425.172672556981,1168.76784662573,1168.76784662573,1168.76784662573,36.3778550021261,63.6221449978739,55.4956534206031,0.0528280493835016,0,0,0.000136762511518933,8.07352676537585,10.3958075619533,89.6041924380467,19.282392895442
"Arlingwood",61,"FALSE",37224.8875568565,8.34094612212692,0,91.8732910363825,0.11147657114066,0,8.87045983504515,429.185310791719,0.167214856710989,0,0.362298856207144,512.188141993056,521.058601828101,520.965704685484,521.058601828101,98.2976080226056,1.70239197739443,0,1.60076929789917,0,0,0.03209137247218,0.0695313070230567,17.6320457457282,82.3679542542718,0.0213980632771134
"Ashton Heights",38,"FALSE",387665.779160277,646.006427872217,300.438440731775,502.457899565819,402.611845715919,1.22359620849491,1321.25214109004,6053.16263253879,124.737141054425,40.0003961609454,208.846139062187,5234.36839101457,6555.62053210461,6525.45542561307,6555.62053210461,79.8455060871885,20.1544939128115,4.58291384103836,9.85423766840305,0.610169486855636,0.0186648419093606,1.90275108883369,3.1857569857714,7.66453605886963,92.3354639411304,6.16986584776332
"Aurora Highlands",12,"FALSE",409905.197317608,1456.18930634614,1088.9679307723,1318.75302845156,1108.99185413167,26.8214312586467,3341.06583636215,8362.88159331377,275.597782353197,0,493.489385631868,6340.56878540317,9681.63462176533,9517.89755122133,9681.63462176533,65.4906845084704,34.5093154915296,11.247769341803,15.0407380905749,0,0.277034119820524,2.84660383416685,5.09717010516439,13.6211815460053,86.3788184539947,11.6516473114313
"Ballston - Virginia Square",8,"FALSE",694016.322482062,1985.56694144177,508.087202882251,1063.71863256553,824.03875511963,13.8096171013119,3081.27504294404,11607.5074322663,69.8826370179807,1.67900444793488,502.249640052799,9589.95102188783,12671.2260648319,12646.1436071685,12671.2260648319,75.6828973993613,24.3171026006387,4.00977143239842,15.6698880698891,0.0132505287124096,0.108984063820309,0.551506512948539,3.96370199286996,8.39475696450411,91.6052430354959,6.51612681871274
"Barcroft",40,"FALSE",206557.178638129,245.205294631664,346.282430398531,1077.71151937796,495.30859602123,0.0579993126551215,1407.10055290784,2743.65566205642,671.873594702168,0,143.681233862817,2414.26662852655,3821.36718143438,3821.3156599511,3821.36718143438,63.1780855882143,36.8219144117857,9.06174188339974,6.4166902312597,0,0.00151776340512117,17.5820213761813,3.7599431575399,28.2022498286446,71.7977501713553,12.9617294172334
