"geo_id","tot_pop_race","pop_white","pop_black","pop_native","pop_asian","pop_pac_isl","pop_other","pop_two_plus","tot_pop_hisp","pop_not_hisp","pop_white_not_hisp","pop_hisp","tot_pop_income","pop_in_poverty","per_cap_income","pct_white","pct_nonwhite","pct_black","pct_asian","pct_pac_isl","pct_native","pct_other","pct_two_plus","pct_hisp","pct_white_not_hisp","pct_in_poverty"
"51013100100",5296,4611,35,0,430,0,99,121,5296,4713,4132,583,5296,62,83481,0.870657099697885,0.129342900302115,0.00660876132930514,0.0811933534743202,0,0,0.0186933534743202,0.0228474320241692,0.110083081570997,0.780211480362538,0.0117069486404834
"51013100200",6600,5992,69,47,295,0,0,197,6600,6141,5574,459,6600,114,101045,0.907878787878788,0.0921212121212122,0.0104545454545455,0.0446969696969697,0,0.00712121212121212,0,0.0298484848484848,0.0695454545454545,0.844545454545455,0.0172727272727273
"51013100300",6255,5637,132,0,355,0,71,60,6255,5794,5258,461,5766,87,106072,0.901199040767386,0.0988009592326139,0.0211031175059952,0.0567545963229417,0,0,0.0113509192645883,0.00959232613908873,0.0737010391686651,0.840607513988809,0.0150884495317378
"51013100400",3918,3421,100,0,280,0,18,99,3918,3632,3194,286,3908,123,118969,0.873149566105156,0.126850433894844,0.0255232261357836,0.071465033180194,0,0,0.00459418070444104,0.0252679938744257,0.072996426748341,0.815211842776927,0.0314738996929376
"51013100500",4522,3915,107,0,178,0,50,272,4522,4338,3844,184,4522,100,105665,0.865767359575409,0.134232640424591,0.0236620964175144,0.0393631136665192,0,0,0.0110570544007077,0.0601503759398496,0.0406899601946042,0.850066342326404,0.0221141088014153
"51013100600",3467,2791,135,0,182,55,83,221,3467,2968,2435,499,3253,178,74487,0.805018748197289,0.194981251802711,0.0389385635996539,0.0524949524084223,0.0158638592443034,0,0.0239400057686761,0.0637438707816556,0.143928468416498,0.702336313815979,0.0547187211804488
"51013100700",5831,4613,101,22,617,0,396,82,5831,5036,4214,795,5810,632,79502,0.791116446578631,0.208883553421369,0.0173212141999657,0.105813754073058,0,0.00377293774652718,0.0679128794374893,0.0140627679643286,0.136340250385869,0.722689075630252,0.108777969018933
"51013100800",1617,814,558,0,153,0,0,92,1617,1441,669,176,1617,94,54539,0.503401360544218,0.496598639455782,0.345083487940631,0.0946196660482375,0,0,0,0.056895485466914,0.108843537414966,0.413729128014842,0.0581323438466296
"51013100900",4195,3371,260,0,312,7,75,170,4195,3892,3194,303,4195,161,81228,0.80357568533969,0.19642431466031,0.0619785458879619,0.0743742550655542,0.00166865315852205,0,0.0178784266984505,0.0405244338498212,0.0722288438617402,0.761382598331347,0.0383790226460071
"51013101000",3308,2779,207,0,99,0,84,139,3308,2997,2552,311,3308,47,72840,0.840084643288996,0.159915356711004,0.0625755743651753,0.0299274486094317,0,0,0.0253929866989117,0.0420193470374849,0.0940145102781137,0.771463119709794,0.0142079806529625
"51013101100",5934,5111,155,0,385,0,147,136,5934,5678,4930,256,5934,214,83599,0.861307718233906,0.138692281766094,0.0261206605999326,0.0648803505224132,0,0,0.0247724974721941,0.0229187731715538,0.0431412200876306,0.830805527468824,0.0360633636670037
"51013101200",4037,3242,104,0,249,0,289,153,4037,3185,2662,852,3852,313,51489,0.803071587812732,0.196928412187268,0.0257617042358187,0.0616794649492197,0,0,0.0715878127322269,0.0378994302700025,0.211047807778053,0.659400544959128,0.0812564901349948
"51013101300",7411,6109,157,29,322,0,526,268,7411,6155,5410,1256,7411,161,70752,0.824315207124545,0.175684792875455,0.021184725408177,0.0434489272702739,0,0.00391310214545945,0.0709755768452301,0.0361624612063149,0.169477803265416,0.729995951963298,0.021724463635137
"51013101401",1454,968,150,0,225,9,42,60,1454,1391,928,63,1454,60,71642,0.665749656121045,0.334250343878955,0.103163686382393,0.15474552957359,0.0061898211829436,0,0.0288858321870702,0.0412654745529574,0.0433287482806052,0.638239339752407,0.0412654745529574
"51013101402",2362,1773,60,0,437,0,0,92,2362,2160,1571,202,2355,180,97906,0.750635055038103,0.249364944961897,0.0254022015241321,0.185012701100762,0,0,0,0.0389500423370025,0.0855207451312447,0.665114309906859,0.0764331210191083
"51013101403",6002,4493,330,0,932,0,68,179,6002,5551,4223,451,5974,278,86692,0.748583805398201,0.251416194601799,0.0549816727757414,0.155281572809064,0,0,0.0113295568143952,0.0298233922025991,0.0751416194601799,0.703598800399867,0.0465349849347171
"51013101404",5212,3893,179,15,863,0,19,243,5212,4746,3446,466,5211,411,86053,0.746930161166539,0.253069838833461,0.0343438219493477,0.165579432079816,0,0.00287797390636992,0.00364543361473523,0.0466231772831926,0.0894090560245587,0.661166538756715,0.0788716177317214
"51013101500",7829,6336,370,0,714,0,30,379,7829,7120,5690,709,7829,447,86297,0.809298761016733,0.190701238983267,0.0472601864861413,0.091199386894878,0,0,0.00383190701238983,0.0484097585898582,0.0905607357261464,0.726785030016605,0.0570954144846085
"51013101601",1474,1167,19,11,139,0,65,73,1474,1318,1071,156,1474,133,99382,0.791723202170963,0.208276797829037,0.0128900949796472,0.0943012211668928,0,0.00746268656716418,0.0440976933514247,0.0495251017639077,0.105834464043419,0.726594301221167,0.0902306648575305
"51013101602",1729,1260,156,0,256,0,26,31,1729,1597,1142,132,1729,109,68185,0.728744939271255,0.271255060728745,0.0902255639097744,0.148062463851938,0,0,0.0150375939849624,0.0179294389820706,0.0763447079236553,0.660497397339503,0.0630422209369578
