"geo_id","area","area_canopy16","pct_canopy16"
"51013102901",682161.749910108,253721.025666571,0.371936752097292
"51013103000",772883.83027428,302028.647197385,0.390781428420104
"51013102902",754305.122876999,195983.597674188,0.259820053888386
"51013102801",1058562.45348603,433788.400128732,0.409790087207599
"51013102702",285144.88301487,96790.7645315106,0.33944415732848
"51013103100",1919886.83982084,541748.877372936,0.282177504494739
"51013103800",928418.768421905,271026.243076442,0.291922408609989
"51013103700",1471897.63031731,756941.546823584,0.514262358490517
"51013102802",734713.697463961,394385.035976871,0.53678737355542
"51013100100",2193504.46366695,872058.602115163,0.397564088224975
"51013101402",462874.526922779,137160.175416287,0.296322582986229
"51013103402",1169469.2804833,157445.975599106,0.134630279073289
"51013102701",465282.684749313,206249.546157433,0.443277931712754
"51013103602",167871.590460682,31223.8403564633,0.185998359047991
"51013102600",705508.956376662,240749.780155607,0.341242698593147
"51013103601",745799.655284852,331029.132356948,0.443857985199141
"51013103200",994054.697418371,320704.385384315,0.322622473609557
"51013102200",859637.059726567,370519.281975834,0.431018274262965
"51013103502",665750.835938598,111158.53801449,0.166967177529376
"51013980200",3833631.35546606,356318.032166899,0.0929453041067326
"51013102100",1140919.25675121,607919.475499413,0.532833039588161
"51013102302",1189294.20616872,530551.787833376,0.446106426047878
"51013103501",365896.08492053,99478.0486739959,0.271875138252987
"51013103503",201246.083134619,22966.0258978342,0.114119119935724
"51013103300",437238.518027755,102083.234375986,0.23347264746128
"51013102500",1111009.4814597,256870.275787039,0.231204395708261
"51013102301",856734.250947619,316488.12714478,0.369412249825098
"51013102400",970315.638621484,326390.782381494,0.336375885732599
"51013101300",2490531.60227298,1234860.61779665,0.495822103469659
"51013980100",4931345.59295665,1280367.81003777,0.259638629234684
"51013102003",591986.281645796,190871.77803371,0.322426015520262
"51013101803",957987.842309715,291734.508915008,0.304528404255772
"51013102001",211082.681696237,33730.4214930619,0.159797199950313
"51013101200",1596013.47351713,755104.089273432,0.473118868858552
"51013101900",1107756.36420578,497208.996564246,0.448843276942692
"51013101100",2171530.37413256,932179.887838123,0.429273243857108
"51013102002",179757.286971947,52576.1396788393,0.292484052048718
"51013101403",304670.047835352,18021.1914197396,0.0591498624422656
"51013101401",338926.796890612,79864.2102670648,0.235638524306005
"51013101404",309751.497821265,38377.6447703149,0.123898173343006
"51013101801",280823.860207445,57956.6213021712,0.206380687379479
"51013103401",1280185.16475877,272388.179549063,0.212772485611791
"51013100900",1640742.28027747,710754.69795766,0.4331909444288
"51013101703",248746.057552964,70472.3485815796,0.283310414142239
"51013101500",1734476.93229643,559937.1820439,0.32282769036458
"51013101701",243852.521540959,32568.2395151787,0.133557116036253
"51013101000",1076643.17172198,441022.251005326,0.409627128642777
"51013101802",395621.416303569,67733.2401404086,0.171207213131342
"51013100700",1555886.41432882,637832.993591478,0.409948301956623
"51013100800",439643.660693225,103848.54268899,0.236210713297317
"51013101702",382445.482274796,46179.1644943288,0.12074705189261
"51013101602",207175.966974786,62987.2549579592,0.304027807267939
"51013100600",1019416.00554934,426382.51320894,0.418261544735286
"51013101603",459119.41861773,106434.191874145,0.23182245742205
"51013100500",2127334.69695509,1180486.35894924,0.554913319769992
"51013101601",692694.043905598,363522.475865346,0.524795151717643
"51013100200",3204852.03884873,1395347.0296422,0.435385787776788
"51013100400",3772214.06962486,2732538.30739522,0.724385800211749
"51013100300",4453494.73153562,2407389.31020119,0.540561840829009
