"civ_name","civ_id","tot_pop_race","pop_nonwhite","tot_pop_income","pop_in_poverty","pct_nonwhite","pct_in_poverty"
"Alcova Heights",11,1619.43188122226,462.61697578852,1619.43179367562,42.109575941516,28.5666214894671,2.60026856987537
"Arlington - East Falls Church",25,5639.08621483198,799.183008349549,5639.08621483198,146.615607516253,14.1722076574664,2.59998875581337
"Arlington Forest",58,2941.79666343487,630.904841463772,2939.20080730656,74.163740518656,21.4462423356997,2.52326211718139
"Arlington Heights",20,2868.23919710549,479.366055476463,2868.23919710549,27.3059423906996,16.7129037201716,0.952010641868911
"Arlington Mill",46,7588.22171931581,4110.08682446577,7558.25430883953,1350.08852882057,54.1640317915797,17.8624385162803
"Arlington Ridge",51,5609.60503556565,1016.51169245177,5599.08783829553,259.218829153627,18.120913789954,4.62966177063116
"Arlington View",43,796.034292421766,506.765092444884,796.034292421766,153.621132251588,63.6612137528847,19.2983058285377
"Arlingwood",61,509.62569440011,8.49822855339898,509.555502747541,0.0842299830828712,1.6675431884184,0.0165300899762048
"Ashton Heights",38,6553.42039101827,1320.5540527922,6523.23152485829,402.258147461637,20.1506079878848,6.16654714659044
"Aurora Highlands",12,9653.69930435064,3337.51674617189,9489.96970981107,1108.04959359675,34.5724125120384,11.6760076952744
"Ballston - Virginia Square",8,12623.6069096413,3076.99117310732,12598.5591223892,822.841093073394,24.3748969302685,6.53123174705832
"Barcroft",40,3800.90452505498,1400.69887166022,3800.84878084045,494.432957607562,36.8517246993979,13.0084880014151
"Bellevue Forest",31,885.071970312491,64.9401662294946,878.933253747071,7.13255663796196,7.33727520560461,0.811501511355319
"Bluemont",18,7471.78971068477,1542.31917763286,7464.63689748865,258.693761667835,20.6418975553785,3.46559069410152
"Boulevard Manor",39,2077.17310081457,466.558324607299,1915.37442438137,274.576830705106,22.4612154097478,14.3354128158931
"Buckingham",59,6150.32674096266,2771.44800058643,6150.32674096266,799.298602556645,45.0618010605505,12.9960347835364
"Chain Bridge Forest",1,232.305732504654,3.59884945785677,232.305732504654,0,1.54918667699458,0
"Cherry Valley Nature Area",27,180.847291619556,40.872254272037,154.502453342431,5.41690722025896,22.6004237641661,3.50603314256325
"Cherrydale",34,3690.66109302732,689.430013445464,3512.82352228336,167.168838543662,18.6803934598055,4.75881687432452
"Claremont",42,1565.63303196006,344.821539051015,1565.63303196006,102.089729177248,22.0244164508539,6.52066781252303
"Clarendon - Courthouse",17,9521.05755945227,2431.03153929217,9512.17898543812,589.156665670338,25.533209143124,6.19370878714812
"Colonial Village",56,2738.18083331446,765.061799185046,2735.42654568896,190.637999567552,27.940514003926,6.9692238626549
"Columbia Forest",45,4839.26656939273,2653.25207012792,4839.26655814512,241.721117032365,54.8275659561543,4.99499488461774
"Columbia Heights",13,4366.60858478772,2351.95586987771,4366.60858478772,252.282653827004,53.8623012392592,5.77754220302457
"Crystal City",62,7307.45986987927,2801.86853449746,7307.45986987927,515.340383645696,38.34257846624,7.05225061542774
"Dominion Hills",10,1752.4084035885,281.489541874417,1752.32404270567,3.24959522778327,16.0630102719204,0.185444880546508
"Donaldson Run",23,2281.71107006274,256.658383962262,2133.34275301802,18.4277066327259,11.248505007043,0.863794934342192
"Douglas Park",29,11873.6589337614,5995.77563665598,11793.1416241493,735.178270038525,50.4964448625659,6.23394760674347
"Dover Crystal",33,484.769982910386,81.9926737619492,484.769982910386,20.0922884358819,16.9137274691998,4.144705560203
"Fairlington",30,7046.96786668054,919.206926036213,7042.23128829814,119.23763832054,13.0440062084348,1.69317980962474
"Forest Glen",41,513.729991324342,192.126839047644,499.551248355238,117.639699307193,37.3984081700897,23.5490752339263
"Foxcroft Heights",60,1364.09217135964,447.715215063315,1363.60994147881,24.7211083746073,32.8214782302476,1.81291640832405
