"geo_id","area_m_sq","area_canopy","pct_canopy","area_plantable","pct_plantable","area_open_plantable","pct_open_plantable"
"510131001001",705943.629845365,292107.532249669,41.3783083946312,379852.674167869,53.8077911760568,152599.372062433,21.6163678813646
"510131001002",372139.390989237,150008.476881384,40.3097550309375,197520.289561509,53.0769637249235,82665.4809953568,22.2135799103695
"510131001003",490633.399261553,173766.469656997,35.4167632938425,242908.868280059,49.5092402281741,110522.041302995,22.5263998474911
"510131001004",624788.043570792,256176.123327871,41.0020847812279,318673.604214614,51.0050740397222,135135.921019784,21.629082440095
"510131002001",529025.485832373,241079.541136151,45.5704966192384,327362.285532097,61.8802485511681,117154.274918648,22.1452988667109
"510131002002",1054557.49736681,480665.351608557,45.5798145486388,603985.005306271,57.2737860964813,203797.753619873,19.3254283553765
"510131002003",397808.473644519,236327.760855253,59.4074225443561,256714.9962509,64.5323097064796,65756.1909793213,16.5296104371273
"510131002004",403991.237556822,145339.399843284,35.9758792597182,221149.0113762,54.7410415913031,101524.809361963,25.1304483671341
"510131002005",277803.800177702,96408.3618525835,34.7037591965676,142847.564092733,51.4203059862244,64041.1647510959,23.0526597224843
"510131002006",541665.544270507,195526.614332423,36.0972959053081,227362.379945757,41.974680197161,89496.8585397959,16.5225311977941
"510131003001",1182019.02869162,754025.333035291,63.7913024014448,631247.335783313,53.404160208998,159515.647585636,13.4951844017439
"510131003002",1001002.96301377,593268.850767983,59.267442024527,540271.355417713,53.973002616405,162460.73562872,16.2297956780858
"510131003003",709354.761430335,327473.891549428,46.1650374897201,392930.120455284,55.3926105553988,137930.701369603,19.4445302786833
"510131003004",430662.631460648,214597.523388807,49.8296131849126,273582.490339619,63.5259412714143,91707.1484773877,21.294429044459
"510131003005",1130455.34694172,518023.711452579,45.824340859992,866802.544566764,76.6772917578541,438067.198786754,38.7513934072567
"510131004001",1326642.6583537,992737.944941889,74.8308475300974,659533.194316473,49.7144570290633,126638.94106859,9.5458215723097
"510131004002",1073698.28311849,818754.177963315,76.2555171072166,314693.831412882,29.309335440015,93244.9095030375,8.68446107897399
"510131004003",1371873.12818124,921046.184512903,67.1378544846912,647353.382801285,47.1875547019069,179500.120573281,13.0843091016188
"510131005001",432295.306384759,229355.472338604,53.0552770180829,202442.626318377,46.8297072229129,66550.8708275656,15.3947706219907
"510131005002",407130.116181502,204101.733800281,50.1318192116475,200247.701675895,49.1851852066437,67069.7070091192,16.4737768942691
"510131005003",783252.218319434,533305.774363531,68.0886388688188,405385.730211043,51.7567292794713,98674.2302338228,12.5980147806719
"510131005004",504657.056069396,213723.378452528,42.3502209831657,272552.18277737,54.0074055240973,110771.90287376,21.9499364056306
"510131006001",411860.905140016,189757.180042697,46.0731226670293,160805.464496497,39.0436340253828,64537.8487204923,15.6698166577748
"510131006002",331992.945929052,118216.266957522,35.6080658963113,152256.632976694,45.8614060460284,78118.2384041722,23.5300898293382
"510131006003",275562.154518505,118409.06621317,42.9700030543266,152939.585780688,55.5009399051631,64734.7431463881,23.4918845294632
"510131007001",243265.595743785,91663.9606874881,37.6806101196618,122108.583417237,50.1955827513914,56815.3746977323,23.3552856185928
"510131007002",273619.006400306,133152.491563752,48.6634657860532,155576.320132086,56.8587402530353,61223.3914948899,22.3754162038435
"510131007003",347235.8536758,174146.424852802,50.152201453078,134902.0981634,38.8502790640257,53553.0671781779,15.4226778747848
"510131007004",304865.722373492,131518.015731624,43.1396533226851,160441.651887024,52.6269895604945,75816.5195070962,24.8688238601692
"510131007005",155717.908198108,29434.9621532719,18.9027469569036,49313.9473426374,31.6687707363105,28798.0581743149,18.4937355680872
"510131007006",231182.327942066,77917.1386027021,33.7037607053719,79704.0933518517,34.4767240910496,35426.6173792846,15.3241027091666
"510131008001",237497.622817862,59386.9253915885,25.0052714999731,97455.7397837931,41.0344064195254,55189.6588813406,23.2379837012793
"510131008002",202146.037875362,44461.6172972851,21.994800276372,116154.502840556,57.4606873631499,77169.5854863904,38.1751659827096
"510131009001",678618.8021529,262422.739815063,38.6701251103762,329988.627181061,48.6265081565941,127429.900826804,18.7778323298052
"510131009002",349996.305307094,197292.974182138,56.3700162517514,216860.573834853,61.9608180276576,61771.4490833152,17.6491717617178
"510131009003",325018.160402299,144839.419489926,44.563485102078,160006.07719167,49.2298882602803,57077.3907147955,17.5612927733474
"510131009004",287109.012415177,106199.564588224,36.9892828145196,123374.312619323,42.9712434247504,57066.9718614116,19.8764125797937
"510131010001",269761.394010917,112032.403358694,41.5301840240936,145722.662009133,54.0190943716859,53663.1106196139,19.8928059429594
"510131010002",231534.62168959,102815.311614775,44.4060205184414,138227.157767109,59.7004269851378,52900.3704342466,22.8477149759348
"510131010003",281196.631092624,95655.2447707494,34.0172086696307,109441.368847268,38.9198719849594,46070.3208393345,16.3836674217336
"510131010004",294150.524928847,130519.291260519,44.3715989601212,140897.8219755,47.8999049923785,50439.7692794948,17.1476047141836
"510131011001",373949.199925702,160407.805484434,42.8956140342871,232124.771189245,62.0738782795535,92508.7789539142,24.7383278189375
"510131011002",436897.392912424,195888.454681276,44.8362608381464,231110.423952693,52.8981009504488,82298.1719264649,18.8369565169187
"510131011003",609259.241475073,288652.74315382,47.3776552744551,286580.601193293,47.0375468576324,104152.47977168,17.0949363885753
"510131011004",374335.616080602,152574.63779434,40.7587820234256,99045.1603986109,26.4589197885153,42671.7559552397,11.399331007299
"510131011005",377088.923738756,134656.246717027,35.709414474957,137750.014486497,36.5298490129956,50540.0837198382,13.4026964299943
